ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002594.SZ,20240315,210.0,211.38,206.18,209.47,212.08,-2.61,-1.2307,146628.02,3057950.744
002594.SZ,20240314,208.42,215.36,208.42,212.08,206.36,5.72,2.7719,211352.19,4497086.17
002594.SZ,20240313,206.92,210.4,205.83,206.36,205.1,1.26,0.6143,177812.91,3691839.469
002594.SZ,20240312,201.0,206.66,197.77,205.1,198.74,6.36,3.2002,245028.92,4958824.423
002594.SZ,20240311,188.0,199.9,188.0,198.74,188.09,10.65,5.6622,278080.46,5440726.383
002594.SZ,20240308,188.3,190.15,187.25,188.09,188.89,-0.8,-0.4235,67149.68,1263993.368
002594.SZ,20240307,192.06,193.96,188.8,188.89,191.65,-2.76,-1.4401,101326.88,1935953.172
002594.SZ,20240306,190.0,192.98,189.0,191.65,190.82,0.83,0.435,100100.4,1914828.109
002594.SZ,20240305,187.5,191.65,185.5,190.82,189.27,1.55,0.8189,149624.43,2826124.074
002594.SZ,20240304,190.0,191.7,188.1,189.27,192.18,-2.91,-1.5142,126865.1,2401200.046
002594.SZ,20240301,190.9,192.98,188.77,192.18,191.2,0.98,0.5126,122158.28,2336111.334
