user,rating,comment
沉歌,推荐,爱你原本只是一瞬，却不知在时间的洪流中成了永恒。
影志,力荐,"“我甚至连一张他的画像都没有，但他永远活在我心中。” 要敢说，这是我一直深爱的电影。

3D效果言过其实；被删裸戏无察觉；IMAX看清冰山全貌；Rose美的神魂颠倒，Jack帅的令人窒息；甲板上Jack对Rose说:I see you. 看过不下10遍，能记住每个情节、台词、人物及配乐，该哭地方还是会哭；3碟正版VCD能记住两次换碟的准确时刻；初二看完后自己经常在水盆里用水瓢演习沉船全过程…"
个篱,力荐,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。
Doublebitch,力荐,将永远是我在电影院所看过次数最多、最感动、也是最好的电影
孔雀鱼,力荐,学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。
高歌,力荐,"生死两茫茫
不思量
自难忘"
桃溪春野,力荐,我学会了吐口水，我努力的活下来了，我去了好多你说过的地方，我学会了双腿张开骑马，我生了好多孩子，我已经活到一百岁了，我可以见到你了吗？
琦殿,力荐,有些片子，必须得等经历过再去看。没有为爱情放弃过什么的人，不会在露丝从救生船上跳回大船的那一刻落泪。
游牧人·芳汀,还行,剧本居然收入人民教育出版社教材，可想而知对我国的巨大影响力。
宋阿慕,力荐,一部应该被记住的电影.
峰峰峰峰,推荐,当老年的Rose午夜梦回，一个长镜头穿过大堂，摇上楼梯，站在钟表前的Jack转过身来，意气风发，潇洒倜傥，宛如昨日。
白日梦小姐,力荐,我想失去的才是永恒的。
安獭獭,力荐,事隔那麼多年依然無法忘記當初的感動。
芦哲峰,推荐,1998年，哈尔滨火车站地下给初恋女友买的盗版光盘。
小耳朵图吗,力荐,还用说么？太经典了。
勾陈,推荐,"远程支持学校社团放映。说实话不是很能get到爱情线。男女主角之间不过是把对逃离现实的渴望投射到对方和被荷尔蒙短暂冲昏头脑的激情之爱。如果两个人真的顺利下船，ross多半会逐渐发现jack嗜赌轻浮偶尔还很暴躁而且没有足够的经济基础并以分手结局。这种烟花般的爱情只能靠死亡定格在最绚烂的时刻，才能让人感动。
相比之下，大洪水来临时无助哭喊的，一心求生的，从容赴死的，向神祷告的，信仰崩塌的，坚持道德的，自私野蛮的，寥寥几笔群像就有震撼人心的力量。
如果拍成纯粹的特效沉船片就四星了；如果有触手大海怪就五星了(
加一星给陪我一起看的人。"
酒鬼一家小迷妹,力荐,Rose可以为爱而死，最后在Jack的舍命相救及恳求下，选择了为爱而活，而被留下的那个人是痛苦的。到老奶奶的Rose站在船边上，把海洋之星扔回海中时，我想那是它最好的归宿了。灾难面前，有的人把生存的机会留给了别人，而有的人花钱占用了别人的机会。
朋克布莱克,力荐,第一次看到沉船，第一次看到正面全裸，第一次看到伟大的爱情，第一次...
青山绿水,力荐,打动人心灵的情感灾难片。除了男女主之间的互动，印象深刻的还有在船沉前三等舱躺在床上安详拥抱的两位老人，母亲在海水即将淹没时，拍打两个孩子入眠的场景，船上一直奏响的音乐，灾难来临时，从容赴死的船长和设计师，都让我流泪满面。
寄云粥,力荐,找不出瑕疵的神片，每一个细节都极尽完美，卡梅隆无可抑制的才华，搭配詹姆斯霍纳天籁般的原创配乐，不仅是Jack和Rose的爱情，死亡时刻乐团的演奏、船长与船共存亡的坚定、一对老夫妇相拥而眠、母亲为孩子讲睡前故事，都染上了一层浪漫潇洒的色彩。我一直认为，本片真正感人的部分，爱情只占了一半，生死间的抉择差异、烈狱环境下人性的考验是另一半，但当最后Rose将海洋之心抛向海底，Celine Dion的声音响起的时候，泪水终于无法忍耐，一切的缘由都失去了意义。
北灰灰灰,力荐,能与诸位一起演奏 是我的荣幸
登对,力荐,"""Every night in my dream, I see you, I feel you."""
緩慢,较差,……………是的，這種片子我也哭過。細個嘛。
老鸡｜扶立,推荐,高中时代的大片，最让我动心的是音乐
雨果,力荐,我所知道的爱情就是无论付出什么代价都要让你有幸福的人生， 尽管那人生我无法参与，那幸福不是我来给予。
清和结庭芳。,力荐,"第一次哭：rose在救生艇上仰望，jack留在大船上，眼中闪着泪光却微笑着看过来。太美好了。当时魂穿rose感觉，如果我不跳回去，这个画面，就是我心中最美好的男孩子，留在我心中的最后一面。这一幕一定会成为我夜夜的梦魇，让我在悔恨中哭着醒过来。
第二次哭：rose为了彼此的诺言，争取搜救好好活下去，哭完后最终扒掉了已死的Jack在救生木板上冷僵的手，Jack慢慢坠落，带着宁静的面庞永眠海底。
第三次哭：Rose Dawson你我永不分离，我带着我们相爱的记忆，好好活下去，我之后的生命与幸福由你共享一半
第四次哭：结尾白发苍苍的老奶奶梦回泰坦尼克号，青春少女穿着洁白如婚纱的裙子，穿过金碧璀璨的梦幻廊厅，推开门后喜欢的人们都活着，笑着夹道祝福，楼梯的最高处，Jack回首，微笑，还是初见的少年模样。"
魏小河,推荐,不知为什么，今天才看这电影，但从来不急，就像任何一件人生中必须经历的事情，你知道总会到来的。那些早就从别人谈话中听来的感动和泪点，一一应中，但在此之前，终归是听来的。时间参和进去，电影不只是电影，生离死别，何止爱情。
打碎,力荐,"让我们期冀着：原来世界上真的有人无端端地比热爱生命还要热爱另一个人。

二刷。我心目中最好的爱情电影。我做过最伟大的事情就是为我最爱的人延续生命，两次。"
元宝宝,力荐,男女主人公的爱情固然打动人心，但我也记住了当海水袭来时，有一对老夫妇紧握双手迎接死亡的瞬间，爱情的力量可以冲破一切恐惧，只因我俩还在一起。
蓝下老婆,力荐,"you jump, i jump这句是不是超经典，这部电影是根据真人真事改编的，非常的感人，小李子那时好帅啊，很多片段都非常的经典，主题曲也是很好听，喜欢的电影当然给满分了"
